,Sentence #,scenario,intent
0,0,alarm,set
1,1,alarm,set
2,2,alarm,set
3,3,audio,volume_mute
4,4,audio,volume_mute
5,5,audio,volume_mute
6,6,iot,hue_lightchange
7,7,iot,hue_lightchange
8,8,iot,hue_lightchange
9,9,iot,hue_lightoff
10,10,iot,hue_lightoff
11,11,iot,hue_lighton
12,12,iot,hue_lightoff
13,13,iot,hue_lightdim
14,14,iot,hue_lightoff
15,15,iot,hue_lightchange
16,16,iot,hue_lightdim
17,17,iot,hue_lightdim
18,18,iot,cleaning
19,19,iot,cleaning
20,20,iot,cleaning
21,21,iot,cleaning
22,22,iot,cleaning
23,23,iot,cleaning
24,24,calendar,query
25,25,play,music
26,26,play,music
27,27,general,quirky
28,28,general,quirky
29,29,general,quirky
30,30,general,quirky
31,31,general,quirky
32,32,general,quirky
33,33,general,quirky
34,34,general,quirky
35,35,general,greet
36,36,datetime,query
37,37,datetime,query
38,38,datetime,convert
39,39,takeaway,query
40,40,takeaway,query
41,41,takeaway,query
42,42,alarm,remove
43,43,alarm,remove
44,44,alarm,remove
45,45,alarm,query
46,46,alarm,query
47,47,alarm,query
48,48,news,query
49,49,news,query
50,50,news,query
51,51,play,music
52,52,play,music
53,53,play,music
54,54,music,likeness
55,55,music,likeness
56,56,music,likeness
57,57,play,music
58,58,play,music
59,59,play,music
60,60,music,query
61,61,music,query
62,62,music,query
63,63,music,likeness
64,64,music,likeness
65,65,music,likeness
66,66,iot,hue_lightup
67,67,iot,hue_lightup
68,68,iot,hue_lightup
69,69,iot,cleaning
70,70,iot,cleaning
71,71,iot,cleaning
72,72,datetime,query
73,73,datetime,query
74,74,datetime,query
75,75,takeaway,order
76,76,takeaway,order
77,77,takeaway,order
78,78,takeaway,query
79,79,takeaway,order
80,80,takeaway,query
81,81,alarm,set
82,82,alarm,set
83,83,alarm,set
84,84,weather,query
85,85,weather,query
86,86,weather,query
87,87,weather,query
88,88,weather,query
89,89,weather,query
90,90,news,query
91,91,news,query
92,92,news,query
93,93,play,music
94,94,play,music
95,95,play,music
96,96,play,music
97,97,play,music
98,98,play,music
99,99,music,settings
100,100,music,settings
101,101,audio,volume_down
102,102,music,query
103,103,music,query
104,104,music,query
105,105,general,joke
106,106,general,joke
107,107,general,joke
108,108,general,joke
109,109,general,joke
110,110,datetime,query
111,111,datetime,query
112,112,general,quirky
113,113,takeaway,order
114,114,takeaway,order
115,115,takeaway,order
116,116,takeaway,query
117,117,takeaway,query
118,118,takeaway,query
119,119,music,query
120,120,music,query
121,121,music,query
122,122,play,music
123,123,play,music
124,124,play,music
125,125,music,likeness
126,126,music,dislikeness
127,127,music,likeness
128,128,music,likeness
129,129,play,music
130,130,play,music
131,131,music,likeness
132,132,music,likeness
133,133,play,music
134,134,audio,volume_other
135,135,music,settings
136,136,music,settings
137,137,iot,hue_lightchange
138,138,iot,hue_lightdim
139,139,iot,hue_lightdim
140,140,iot,hue_lightdim
141,141,iot,hue_lightdim
142,142,iot,hue_lightdim
143,143,iot,coffee
144,144,iot,coffee
145,145,iot,coffee
146,146,general,greet
147,147,general,greet
148,148,takeaway,query
149,149,takeaway,query
150,150,takeaway,query
151,151,alarm,set
152,152,alarm,set
153,153,alarm,set
154,154,news,query
155,155,news,query
156,156,news,query
157,157,weather,query
158,158,weather,query
159,159,weather,query
160,160,play,music
161,161,play,music
162,162,play,music
163,163,play,music
164,164,play,music
165,165,audio,volume_up
166,166,audio,volume_up
167,167,audio,volume_mute
168,168,iot,wemo_on
169,169,iot,wemo_on
170,170,iot,wemo_on
171,171,general,joke
172,172,general,joke
173,173,datetime,query
174,174,datetime,query
175,175,datetime,query
176,176,takeaway,query
177,177,takeaway,query
178,178,takeaway,order
179,179,alarm,remove
180,180,alarm,remove
181,181,alarm,query
182,182,alarm,query
183,183,alarm,query
184,184,weather,query
185,185,weather,query
186,186,iot,hue_lightchange
187,187,iot,hue_lightchange
188,188,iot,hue_lightchange
189,189,iot,hue_lightup
190,190,iot,hue_lighton
191,191,datetime,query
192,192,datetime,query
193,193,datetime,query
194,194,weather,query
195,195,weather,query
196,196,weather,query
197,197,play,music
198,198,iot,hue_lightchange
199,199,music,likeness
200,200,music,query
201,201,iot,hue_lightoff
202,202,iot,cleaning
203,203,iot,wemo_on
204,204,iot,wemo_off
205,205,datetime,query
206,206,datetime,query
207,207,takeaway,order
208,208,alarm,set
209,209,alarm,set
210,210,alarm,set
211,211,alarm,query
212,212,alarm,query
213,213,alarm,query
214,214,weather,query
215,215,weather,query
216,216,weather,query
217,217,weather,query
218,218,weather,query
219,219,news,query
220,220,news,query
221,221,news,query
222,222,news,query
223,223,news,query
224,224,news,query
225,225,play,music
226,226,play,music
227,227,play,music
228,228,play,music
229,229,music,query
230,230,play,music
231,231,audio,volume_up
232,232,audio,volume_down
233,233,audio,volume_up
234,234,iot,hue_lightchange
235,235,iot,hue_lightchange
236,236,iot,hue_lightchange
237,237,iot,hue_lightoff
238,238,iot,hue_lighton
239,239,iot,hue_lightup
240,240,iot,hue_lighton
241,241,datetime,query
242,242,datetime,query
243,243,datetime,query
244,244,datetime,query
245,245,datetime,query
246,246,music,query
247,247,music,query
248,248,music,query
249,249,weather,query
250,250,weather,query
251,251,weather,query
252,252,news,query
253,253,news,query
254,254,news,query
255,255,weather,query
256,256,weather,query
257,257,weather,query
258,258,iot,hue_lighton
259,259,iot,hue_lightup
260,260,iot,hue_lightup
261,261,datetime,convert
262,262,datetime,convert
263,263,datetime,query
264,264,iot,cleaning
265,265,iot,cleaning
266,266,iot,cleaning
